"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Balaena_mysticetus","Balaena_mysticetus",11,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.0443359409187063,-0.0443359409187059,0.0606249293349053,0.218922225861073,-0.0511745460525432,-0.0285951891679868,-0.0285951891679868,0.189645512697469,-0.226106812680651,0.116495925048078,0.0142909353158425,0.0142909353158425,0.0142909353158425,0.0142909353158425,0.0142909353158425,0.0138730035608754,0.0138730035608754,0.013873003560875,0.0138730035608754,0.0138730035608754,0.0138730035608754,0.0138730035608754,0.0138730035608754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boreogadus_saida","Boreogadus_saida",8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.267953536862395,-0.0650887877744614,-0.0650887877744614,-0.241985213063028,0.104209251749556,-0.142667503568732,0.142667503568732,0.286306738843275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calidris_ptilocnemis","Calidris_ptilocnemis",16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0588951898630574,-0.0564811572530308,-0.051072474215367,-0.0435829638575345,-0.0365777302537502,-0.0321386843428337,-0.0296603514790106,-0.026309723155594,-0.0198225428474079,-0.0103760913053734,0.000397686041478273,0.0113895366684247,0.0221096176065312,0.0311813891756709,0.0362983211987165
"Cepphus_grylle","Cepphus_grylle",28,1,NA,NA,NA,NA,NA,0.0964400374670786,0.0992263479732489,0.114987613485454,0.146310044464063,0.175752965771934,0.177094945707442,0.140128101890208,0.0816509886614849,0.0309241237881461,0.00571372728817687,0.00225301812035017,0.00482682675901769,0.00170171461192448,-0.00756248805156234,-0.0166083595674769,-0.0210565417292501,-0.0225667788081094,-0.0255059080271289,-0.0311762763468568,-0.0364253434172537,-0.0375299801988933,-0.0335355757051197,-0.0247799040903134,-0.0102438415395834,0.0103692273713576,0.0319186731812282,0.0452574623146247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coregonus_autumnalis","Coregonus_autumnalis",15,1,0.0895851805995058,0.1489705427717,0.041943521916981,-0.0922965419331314,-0.0696081845529757,0.0197562914353901,-0.0554275372696789,-0.247961939490195,-0.220454859414126,0.154562870693125,0.534689640932847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinapterus_leucas","Delphinapterus_leucas",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00517954455579916,-0.00517954455579916,-0.00517954455579961,-0.00517954455579916,-0.00517954455579916,-0.00517954455579916,-0.00517954455579916,-0.00517954455579916,-0.00517954455579916,-0.00517954455579961,-0.00132804387190744,-0.00132804387190788,-0.00132804387190788,-0.00132804387190744,-0.00132804387190788,-0.00132804387190744,-0.00132804387190788,-0.00132804387190788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eleginus_gracilis","Eleginus_gracilis",8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.639336110291355,-0.247190130080584,-0.247190130080584,-0.332673277159446,0.49282533511368,-0.0655959503396544,-0.247784483710756,-0.159700842867512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Enhydra_lutris","Enhydra_lutris",11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.013867575244878,-0.0138675752448778,-0.013867575244878,-0.0381119413249057,-0.0381119413249056,-0.0381119413249058,-0.0381119413249058,-0.0381119413249056,-0.0381119413249058,-0.0381119413249058,-0.0381119413249056,-0.0381119413249058,-0.0381119413249057,-0.0381119413249057,-0.0453042830005041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liopsetta_glacialis","Liopsetta_glacialis",8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.640375289070171,0.079850421433756,0.0798504214337559,0.103540591907069,0.545944049349031,-0.0867343839380707,0.11218150615055,0.0104654336781649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Osmerus_mordax","Osmerus_mordax",8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.727541257028557,-0.0295776701692781,-0.0295776701692781,0.359371288000553,0.458814945827803,0.169909365272142,0.0109714370994554,-0.00469512120837989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
